Match number,blueBans,redBans
213,"['Kalista', 'Ahri', 'TwistedFate']","['Maokai', 'LeeSin', 'Nidalee']"
214,"['Diana', 'Ahri', 'Kalista']","['Rumble', 'Janna', 'Alistar']"
215,"['Diana', 'Ahri', 'Kalista']","['Rumble', 'Janna', 'Alistar']"
216,"['Rumble', 'Shen', 'Tristana']","['Diana', 'Kalista', 'Braum']"
217,"['Kalista', 'Olaf', 'Lulu']","['Rumble', 'Nidalee', 'Braum']"
218,"['Azir', 'Nidalee', 'Elise']","['TwistedFate', 'Kalista', 'Gragas']"
219,"['TwistedFate', 'Kalista', 'Alistar']","['Nidalee', 'Elise', 'Azir']"
220,"['Nidalee', 'Elise', 'Azir']","['Kalista', 'TwistedFate', 'Tristana']"
221,"['Olaf', 'Alistar', 'Rumble']","['Kalista', 'Nidalee', 'Janna']"
222,"['Janna', 'Kalista', 'TwistedFate']","['Ekko', 'Lulu', 'Olaf']"
223,"['Olaf', 'Ekko', 'Elise']","['Kalista', 'Nidalee', 'Janna']"
224,"['Kalista', 'Alistar', 'Janna']","['Olaf', 'Nidalee', 'Azir']"
225,"['Elise', 'KogMaw', 'Nidalee']","['Kalista', 'Azir', 'Alistar']"
226,"['Vayne', 'Alistar', 'Tristana']","['Nidalee', 'Azir', 'Kalista']"
227,"['Nidalee', 'Soraka', 'Shen']","['Kalista', 'Azir', 'Maokai']"
228,"['Vayne', 'Alistar', 'Azir']","['Nidalee', 'Shen', 'Kalista']"
229,"['Azir', 'Maokai', 'Lulu']","['Kalista', 'Alistar', 'Ashe']"
230,"['Kalista', 'Olaf', 'Tristana']","['Azir', 'Maokai', 'Lulu']"
231,"['Azir', 'Maokai', 'Lulu']","['Kalista', 'Alistar', 'Tristana']"
232,"['Urgot', 'Nidalee', 'Lulu']","['Kalista', 'Fizz', 'Azir']"
233,"['Urgot', 'Nidalee', 'Braum']","['Kalista', 'Fizz', 'Azir']"
234,"['Urgot', 'Nidalee', 'Lulu']","['Kalista', 'Azir', 'Fizz']"
235,"['Urgot', 'Nidalee', 'Lulu']","['Kalista', 'Azir', 'Shyvana']"
236,"['Urgot', 'Nidalee', 'Lulu']","['Kalista', 'Shyvana', 'Maokai']"
237,"['Lulu', 'Braum', 'Tristana']","['Kalista', 'Nidalee', 'Evelynn']"
238,"['Lulu', 'Nidalee', 'Shen']","['Azir', 'Kalista', 'Braum']"
239,"['Braum', 'Tristana', 'Kalista']","['Nidalee', 'Soraka', 'Azir']"
240,"['Soraka', 'Nidalee', 'Lulu']","['Braum', 'Azir', 'Kalista']"
241,"['Braum', 'Gragas', 'Vayne']","['Soraka', 'Nidalee', 'Shen']"
242,"['Rumble', 'Karma', 'Elise']","['Kalista', 'Azir', 'Gangplank']"
243,"['Gangplank', 'Maokai', 'Lulu']","['Nidalee', 'Kalista', 'Azir']"
